pedido_id,cliente_id,product_id,quantidade,data_pedido,canal_venda
PED000166,C00045,P00040,21,2026-09-11,Marketplace
PED000167,C00110,P00033,11,2026-08-16,Marketplace
PED000168,C95064,P00007,6,2026-08-18,Marketplace
PED000169,C00002,P00017,13,2026-08-21,Marketplace
PED000170,C00193,P00018,11,2026-08-23,Loja Fisica
PED000171,C00067,P00042,12,2026-09-05,E-commerce
PED000172,C00016,P00043,4,2026-08-28,Televendas
PED000173,C00041,P00026,-5,2026-08-30,Televendas
PED000174,C00095,P00040,8,2026-08-21,E-commerce
PED000175,C00123,P00010,15,2026-09-06,Televendas
PED000176,C00107,P00045,18,2026-09-12,Marketplace
PED000177,C00194,P00035,22,2026-09-09,E-commerce
PED000178,C00196,P00016,22,2026-09-07,Loja Fisica
PED000179,C00135,P00029,17,2026-09-05,Televendas
PED000180,C00020,P00059,19,2026-08-17,Loja Fisica
PED000181,C00141,P00058,0,2026-08-20,E-commerce
PED000182,C00084,P00055,17,2026-08-28,Loja Fisica
PED000183,C00175,P00014,23,2026-09-01,Marketplace
PED000184,C00024,P00058,17,2026-08-28,Loja Fisica
PED000185,C00117,P00009,-9,2026-08-27,Marketplace
PED000186,C00119,P00044,10,2026-09-06,Loja Fisica
PED000187,C00102,P00017,1,2026-09-06,E-commerce
PED000188,C00149,P00005,2,2026-08-27,Televendas
PED000189,C00180,P00005,18,2026-08-15,Loja Fisica
PED000190,C00121,P00003,10,2026-08-27,E-commerce
PED000191,C00197,P00009,25,2026-09-03,Marketplace
PED000192,C00096,P00058,13,2026-08-28,Marketplace
PED000193,C00097,P00006,22,2026-09-13,E-commerce
PED000194,C00168,P00056,12,2026-08-17,E-commerce
PED000195,C00138,P00026,17,2026-08-18,E-commerce
PED000196,C00001,P00049,1,2026-08-23,Marketplace
PED000197,C00173,P00047,18,2026-08-27,Marketplace
PED000198,C00059,P00016,15,2026-08-25,E-commerce
PED000199,C00071,P00013,24,2026-09-07,Loja Fisica
PED000200,C00009,P00052,22,2026-08-27,Loja Fisica
PED000201,C00062,P00014,3,2026-08-17,Loja Fisica
PED000202,C00115,P00039,22,2026-09-05,Loja Fisica
PED000203,C00063,P00048,2,2026-08-26,Marketplace
PED000204,C00060,P00035,7,2026-09-07,Loja Fisica
PED000205,C00036,P00033,10,2026-08-21,Televendas
PED000206,C00148,P00039,25,2026-09-04,Televendas
PED000207,C00061,P00020,5,2026-09-04,E-commerce
PED000208,C00106,P00020,9,2026-08-15,E-commerce
PED000209,C00161,P00044,14,2026-08-31,Marketplace
PED000210,C00013,P00023,21,2026-09-04,Marketplace
PED000211,C00135,P00021,0,2026-08-27,Marketplace
PED000212,C00077,P00025,0,2026-09-07,Marketplace
PED000213,C00058,P00020,23,2026-08-18,Marketplace
PED000214,C00015,P00036,14,2026-09-13,Marketplace
PED000215,C00143,P00034,5,2026-08-26,E-commerce
PED000216,C00066,P00014,11,2026-09-03,Loja Fisica
PED000217,C00116,P00055,-5,2026-08-16,E-commerce
PED000218,C00097,P00044,20,2026-09-02,Loja Fisica
PED000219,C00019,P00013,25,2026-09-01,E-commerce
PED000220,C00123,P00014,11,2026-08-23,Loja Fisica
PED000221,C00055,P00060,7,2026-09-13,Loja Fisica
PED000222,C00192,P00049,16,2026-09-12,E-commerce
PED000223,C00179,P00039,23,2026-08-20,Marketplace
PED000224,C00062,P00036,11,2026-09-07,Televendas
PED000225,C00098,P00030,18,2026-09-03,Televendas
PED000226,C00079,P00017,12,2026-08-30,Marketplace
PED000227,C00120,P00007,24,2026-08-29,Televendas
PED000228,C00053,P00024,0,2026-08-27,Loja Fisica
PED000229,C00190,P00010,1,2026-08-22,Marketplace
PED000230,C00076,P00010,7,2026-08-24,E-commerce
PED000231,C00098,P00037,8,2026-08-29,Televendas
PED000232,C00066,P00049,16,2026-09-13,Marketplace
PED000233,C00118,P00011,24,2026-09-08,Televendas
PED000234,C00044,P00009,0,2026-08-31,Marketplace
PED000235,C00139,P00042,2,2026-08-30,Loja Fisica
PED000236,C00020,P93252,22,2026-08-15,Loja Fisica
PED000237,C00162,P00015,3,2026-09-05,E-commerce
PED000238,C00003,P00014,17,2026-08-28,Televendas
PED000239,C00016,P00040,21,2026-09-04,Marketplace
PED000240,C00169,P00032,1,2026-08-14,Marketplace
PED000241,C00004,P00002,17,2026-09-06,Televendas
PED000242,C00138,P00019,1,2026-08-30,Marketplace
PED000243,C00046,P00007,4,2026-08-30,E-commerce
PED000244,C00062,P00013,20,2026-08-30,Televendas
PED000245,C00091,P00018,13,2026-08-16,Televendas
PED000246,C92320,P00030,19,2026-08-21,E-commerce
PED000247,C00168,P00055,21,2026-09-07,Loja Fisica
PED000248,C00024,P00026,13,2026-08-26,Marketplace
PED000249,C00015,P00041,1,2026-09-05,E-commerce
PED000250,C00022,P00032,14,2026-09-03,Televendas
PED000251,C00145,P00055,4,2026-09-11,Loja Fisica
PED000252,C00059,P00014,23,2026-09-11,Marketplace
PED000253,C00070,P00003,3,2026-09-04,Televendas
PED000254,C00140,P00037,22,2026-08-15,E-commerce
PED000255,C00081,P00002,7,2026-09-01,E-commerce
PED000256,C00193,P00053,23,2026-09-09,Marketplace
PED000257,C00020,P00020,6,2026-09-01,E-commerce
PED000258,C00146,P00054,13,2026-09-04,Televendas
PED000259,C00099,P00049,24,2026-08-18,Loja Fisica
PED000260,C00129,P00048,12,2026-08-15,Loja Fisica
PED000261,C00112,P00015,3,2026-08-24,Marketplace
PED000262,C00199,P00021,1,2026-09-03,Televendas
PED000263,C00116,P00032,8,2026-08-25,Marketplace
PED000264,C00111,P00012,22,2026-09-01,Marketplace
PED000265,C00022,P00050,-2,2026-08-23,E-commerce
PED000266,C00069,P00010,13,2026-09-05,E-commerce
PED000267,C00190,P00025,11,2026-08-25,Loja Fisica
PED000268,C00024,P00001,10,2026-08-28,Televendas
PED000269,C00195,P00018,4,2026-08-18,Loja Fisica
PED000270,C00048,P00028,15,2026-08-31,Marketplace
PED000271,C00027,P00002,3,2026-08-25,Loja Fisica
PED000272,C00153,P00039,11,2026-09-10,Marketplace
PED000273,C00004,P00019,14,2026-08-26,Loja Fisica
PED000274,C00186,P00058,18,2026-09-11,E-commerce
PED000275,C00147,P00034,6,2026-09-04,Marketplace
PED000276,C00044,P00009,9,2026-08-23,Televendas
PED000277,C00127,P00010,3,2026-08-19,Marketplace
PED000278,C00071,P00027,10,2026-08-29,Loja Fisica
PED000279,C00093,P00017,8,2026-09-06,Marketplace
PED000280,C00153,P00040,7,2026-08-28,Loja Fisica
PED000281,C00035,P00020,1,2026-09-13,Marketplace
PED000282,C00086,P96484,20,2026-08-26,Televendas
PED000283,C00111,P00053,21,2026-09-02,E-commerce
PED000284,C00077,P00021,20,2026-09-13,E-commerce
PED000285,C00123,P00021,6,2026-09-13,Marketplace
PED000286,C00082,P00019,24,2026-09-05,Marketplace
PED000287,C00148,P00051,8,2026-08-24,Marketplace
PED000288,C00072,P00053,13,2026-08-25,Loja Fisica
PED000289,C00145,P00013,19,2026-08-31,E-commerce
PED000290,C00175,P00050,18,2026-08-14,Marketplace
PED000291,C00182,P00014,15,2026-09-08,Televendas
PED000292,C00178,P00005,14,2026-09-04,Marketplace
PED000293,C00036,P00041,10,2026-08-21,Televendas
PED000294,C00169,P00010,23,2026-08-27,Marketplace
PED000295,C00019,P00029,20,2026-08-29,Marketplace
PED000296,C00137,P00033,23,2026-08-27,Loja Fisica
PED000297,C00093,P00045,18,2026-09-02,Loja Fisica
PED000298,C00028,P00050,8,2026-09-04,Televendas
PED000299,C00043,P00042,20,2026-08-15,Marketplace
PED000300,C00193,P00022,-5,2026-08-17,Loja Fisica
PED000301,C00057,P00033,24,2026-08-30,E-commerce
PED000302,C00115,P00024,13,2026-08-28,E-commerce
PED000303,C00089,P92406,16,2026-08-17,Televendas
PED000304,C00030,P00054,24,2026-08-18,Televendas
PED000305,C00080,P00022,15,2026-09-08,E-commerce
PED000306,C00134,P00031,12,2026-08-29,Loja Fisica
PED000307,C00113,P00047,23,2026-08-28,Televendas
PED000308,C00018,P00020,2,2026-09-08,Loja Fisica
PED000309,C00006,P00055,0,2026-09-03,Loja Fisica
PED000310,C97985,P00016,17,2026-08-19,E-commerce
PED000311,C00119,P00015,13,2026-09-03,E-commerce
PED000312,C00048,P00041,22,2026-08-27,Marketplace
PED000313,C00008,P00048,20,2026-09-11,E-commerce
PED000314,C00116,P00038,0,2026-08-26,Loja Fisica
PED000315,C00053,P00018,25,2026-09-05,Loja Fisica
PED000316,C00148,P00007,18,2026-08-19,Televendas
PED000317,C00084,P00013,15,2026-08-17,Televendas
PED000318,C00172,P00056,16,2026-08-30,Televendas
PED000319,C00153,P00025,20,2026-08-26,Loja Fisica
PED000320,C00090,P00023,15,2026-09-02,E-commerce
PED000321,C00173,P00046,10,2026-09-12,Loja Fisica
PED000322,C00173,P00009,11,2026-08-17,E-commerce
PED000323,C00079,P00008,6,2026-08-25,E-commerce
PED000324,C00131,P00025,14,2026-09-02,E-commerce
PED000325,C00148,P00025,14,2026-08-19,Marketplace
PED000326,C00163,P00035,0,2026-09-12,E-commerce
PED000327,C00126,P00019,5,2026-08-19,Televendas
PED000328,C00116,P00040,2,2026-09-10,Televendas
PED000329,C00003,P00032,5,2026-08-20,Marketplace
PED000330,C00144,P00033,21,2026-08-29,Marketplace
PED000331,C00176,P00032,14,2026-09-05,Marketplace
PED000332,C00126,P00011,3,2026-09-01,Loja Fisica
PED000333,C00195,P00015,10,2026-08-15,Televendas
PED000334,C00058,P00035,10,2026-08-19,Marketplace
PED000335,C00145,P00048,25,2026-09-07,Marketplace
PED000336,C00141,P00033,4,2026-09-01,Loja Fisica
PED000337,C00069,P00050,18,2026-09-09,Televendas
PED000338,C00139,P00053,25,2026-08-15,Marketplace
PED000339,C00140,P00014,14,2026-08-17,E-commerce
PED000340,C00077,P00056,2,2026-08-28,Televendas
PED000341,C00090,P00056,3,2026-08-28,Loja Fisica
PED000342,C00199,P00052,8,2026-08-20,Televendas
PED000343,C00182,P00040,21,2026-08-27,E-commerce
PED000344,C00158,P00009,7,2026-09-09,E-commerce
PED000345,C00016,P00037,0,2026-08-31,Televendas
PED000346,C00083,P00046,10,2026-08-23,Televendas
PED000347,C00132,P00058,22,2026-09-09,Loja Fisica
PED000348,C00035,P00049,14,2026-09-12,Loja Fisica
PED000349,C00071,P00056,21,2026-08-18,E-commerce
PED000350,C00064,P00010,23,2026-08-24,E-commerce
PED000351,C00195,P00054,22,2026-08-26,Marketplace
PED000352,C00037,P98405,21,2026-08-22,Marketplace
PED000353,C00020,P00041,25,2026-08-16,Marketplace
PED000354,C00132,P98996,9,2026-09-05,Televendas
PED000355,C00084,P00038,1,2026-09-10,Loja Fisica
PED000356,C00188,P00030,-9,2026-09-04,Televendas
PED000357,C00102,P00014,14,2026-09-09,E-commerce
PED000358,C00127,P00018,11,2026-09-09,Televendas
PED000359,C00087,P00036,19,2026-08-18,Marketplace
PED000360,C00088,P00058,-2,2026-09-07,Loja Fisica
PED000361,C00161,P00051,15,2026-08-14,Loja Fisica
PED000362,C00041,P00029,15,2026-08-14,Marketplace
PED000363,C00052,P00045,0,2026-09-11,Televendas
PED000364,C00071,P00006,21,2026-08-25,Televendas
PED000365,C00022,P00024,22,2026-09-11,E-commerce
PED000366,C00014,P00026,21,2026-08-23,E-commerce
PED000367,C00110,P00042,3,2026-09-05,Loja Fisica
PED000368,C00001,P00014,16,2026-08-16,E-commerce
PED000369,C00152,P00015,17,2026-09-04,Marketplace
PED000370,C00003,P00001,23,2026-08-24,Loja Fisica
PED000371,C00109,P00045,5,2026-08-29,Loja Fisica
PED000372,C00059,P00025,3,2026-09-06,Loja Fisica
PED000373,C00027,P00021,12,2026-09-11,Televendas
PED000374,C00036,P00025,25,2026-09-09,E-commerce
PED000375,C00165,P00044,5,2026-08-16,Loja Fisica
PED000376,C00157,P00042,6,2026-08-28,Televendas
PED000377,C00185,P00014,21,2026-09-06,E-commerce
PED000378,C00106,P00040,22,2026-08-28,E-commerce
PED000379,C00023,P00058,4,2026-08-18,Loja Fisica
PED000380,C00151,P00047,13,2026-08-25,Marketplace
PED000381,C00081,P00051,5,2026-08-21,Televendas
PED000382,C00166,P00006,8,2026-08-31,Televendas
PED000383,C00200,P00045,1,2026-09-10,Televendas
PED000384,C00053,P00034,20,2026-08-30,E-commerce
PED000385,C00192,P00026,10,2026-09-03,Loja Fisica
PED000386,C00062,P92163,13,2026-08-17,E-commerce
PED000387,C00136,P00057,1,2026-08-25,Televendas
PED000388,C00034,P00025,19,2026-08-27,Televendas
PED000389,C00140,P00044,6,2026-09-07,Marketplace
PED000390,C00198,P00005,1,2026-09-01,Loja Fisica
PED000391,C00004,P00017,7,2026-08-15,Loja Fisica
PED000392,C00102,P00033,10,2026-09-03,Marketplace
PED000393,C00109,P00045,13,2026-08-16,E-commerce
PED000394,C00072,P00006,10,2026-08-16,E-commerce
PED000395,C00040,P00035,11,2026-08-26,Loja Fisica
PED000396,C00080,P00045,14,2026-09-06,E-commerce
PED000397,C00015,P00016,3,2026-09-12,Marketplace
PED000398,C93877,P00030,20,2026-09-02,Loja Fisica
PED000399,C00031,P00001,23,2026-08-18,Loja Fisica
PED000400,C00042,P00032,12,2026-08-30,Televendas
PED000401,C00043,P00024,5,2026-09-06,Televendas
PED000402,C00188,P00057,4,2026-09-07,Loja Fisica
PED000403,C00086,P00052,14,2026-08-22,Loja Fisica
PED000404,C00068,P00046,19,2026-09-03,Loja Fisica
PED000405,C00128,P93734,17,2026-08-25,Loja Fisica
PED000406,C00095,P00011,9,2026-09-07,Loja Fisica
PED000407,C00147,P00044,24,2026-08-17,E-commerce
PED000408,C00190,P00033,1,2026-08-15,Loja Fisica
PED000409,C00063,P00003,16,2026-08-25,Marketplace
PED000410,C00039,P00012,2,2026-08-31,Marketplace
PED000411,C00058,P00021,8,2026-08-27,Televendas
PED000412,C00070,P00053,3,2026-09-01,Televendas
PED000413,C00031,P00033,22,2026-09-11,Loja Fisica
PED000414,C00046,P00015,17,2026-08-15,Marketplace
PED000415,C00018,P00057,15,2026-09-10,Televendas
PED000416,C00199,P00055,10,2026-08-24,Loja Fisica
PED000417,C00142,P00030,1,2026-08-25,E-commerce
PED000418,C00075,P00037,10,2026-09-06,E-commerce
PED000419,C00119,P00024,0,2026-08-29,E-commerce
PED000420,C00039,P00001,14,2026-08-14,E-commerce
PED000421,C00139,P00023,21,2026-09-09,Loja Fisica
PED000422,C00086,P00001,25,2026-09-04,Marketplace
PED000423,C00189,P00047,10,2026-08-17,E-commerce
PED000424,C00136,P00016,14,2026-08-29,Loja Fisica
PED000425,C00037,P00046,9,2026-08-16,Loja Fisica
PED000426,C00060,P00058,17,2026-08-27,Televendas
PED000427,C00118,P00048,3,2026-09-01,Loja Fisica
PED000428,C00130,P00009,21,2026-09-09,Marketplace
PED000429,C00020,P00038,19,2026-08-15,Marketplace
PED000430,C00170,P00009,8,2026-08-23,Televendas
PED000431,C00081,P00060,13,2026-09-05,Televendas
PED000432,C00082,P00029,9,2026-08-21,Loja Fisica
PED000433,C00052,P00009,0,2026-09-07,Loja Fisica
PED000434,C00028,P00011,15,2026-08-28,Televendas
PED000435,C00105,P00008,18,2026-08-25,E-commerce
PED000436,C00116,P00020,15,2026-08-22,Loja Fisica
PED000437,C00024,P00011,22,2026-08-23,Loja Fisica
PED000438,C00056,P00054,11,2026-08-18,Loja Fisica
PED000439,C00183,P00016,12,2026-08-26,Loja Fisica
PED000440,C00174,P00020,9,2026-09-09,E-commerce
PED000441,C00008,P00026,15,2026-08-31,E-commerce
PED000442,C00025,P00030,-1,2026-09-08,E-commerce
PED000443,C00016,P00054,25,2026-08-21,E-commerce
PED000444,C00051,P00053,13,2026-08-25,Loja Fisica
PED000445,C00150,P00038,9,2026-09-12,Loja Fisica
PED000446,C00006,P00005,7,2026-09-11,Marketplace
PED000447,C00033,P00006,11,2026-08-17,Loja Fisica
PED000448,C00119,P00004,6,2026-09-12,Marketplace
PED000449,C00186,P00026,16,2026-08-14,Marketplace
PED000450,C00175,P00028,6,2026-08-25,E-commerce
PED000451,C00048,P00018,9,2026-08-28,E-commerce
PED000452,C99173,P00040,20,2026-09-02,E-commerce
PED000453,C00106,P00057,18,2026-08-29,Loja Fisica
PED000454,C00023,P00018,0,2026-08-18,Marketplace
PED000455,C00165,P00057,17,2026-08-21,Loja Fisica
PED000456,C00098,P00051,23,2026-08-25,Marketplace
PED000457,C00140,P00051,16,2026-08-25,Televendas
PED000458,C00100,P00018,6,2026-08-14,Televendas
PED000459,C00153,P00015,1,2026-09-11,Televendas
PED000460,C00015,P00052,16,2026-08-30,Televendas
PED000461,C00197,P00038,8,2026-08-19,Loja Fisica
PED000462,C00064,P00043,8,2026-08-22,Loja Fisica
PED000463,C00196,P00015,19,2026-09-10,Marketplace
PED000464,C00091,P00060,6,2026-08-19,E-commerce
PED000465,C00152,P00021,24,2026-09-05,Televendas
PED000466,C00152,P00002,23,2026-09-05,Televendas
PED000467,C00146,P00037,5,2026-09-01,E-commerce
PED000468,C00127,P00035,10,2026-08-19,Marketplace
PED000469,C00010,P00006,2,2026-08-21,E-commerce
PED000470,C00006,P00034,16,2026-08-14,Televendas
PED000471,C00158,P00013,5,2026-08-24,E-commerce
PED000472,C00083,P00004,-9,2026-08-18,E-commerce
PED000473,C00094,P00005,12,2026-09-05,Marketplace
PED000474,C00151,P00007,11,2026-08-23,Televendas
PED000475,C00035,P00011,24,2026-09-13,Marketplace
PED000476,C00164,P00032,21,2026-08-24,E-commerce
PED000477,C00182,P00036,23,2026-09-11,Televendas
PED000478,C00058,P00043,19,2026-09-09,E-commerce
PED000479,C00097,P00020,24,2026-09-05,Televendas
PED000480,C00033,P00012,24,2026-08-14,Marketplace
PED000481,C00198,P00037,2,2026-08-19,Televendas
PED000482,C00157,P00015,21,2026-09-01,Loja Fisica
PED000483,C00128,P00010,11,2026-09-06,Loja Fisica
PED000484,C98317,P00023,11,2026-08-19,Loja Fisica
PED000485,C00003,P00017,7,2026-08-21,Loja Fisica
PED000486,C00090,P00017,4,2026-09-06,Loja Fisica
PED000487,C00013,P00025,15,2026-09-06,Marketplace
PED000488,C00043,P00057,14,2026-08-29,Marketplace
PED000489,C00090,P00035,13,2026-08-17,Marketplace
PED000490,C00148,P00042,25,2026-09-04,E-commerce
PED000491,C00042,P00029,3,2026-09-08,Loja Fisica
PED000492,C00076,P00002,11,2026-08-22,Loja Fisica
